Location,Park,Description,Status,GIS_Lon,GIS_Lat,FMSS_Lat,FMSS_Lon,Dist_m
109751,KATM,GSC-BATH House (Restrooms and Showers-Planned),OPERATING,NULL,NULL,NULL,NULL,NULL
111507,WEAR,Conex Storage 6,OPERATING,NULL,NULL,NULL,NULL,NULL
114740,DENA,"Savage Campground Camper Cook Shelter, B651, Conces",OPERATING,NULL,NULL,NULL,NULL,NULL
116038,KATM,GSC-Kitchen & Mess,OPERATING,NULL,NULL,NULL,NULL,NULL
225709,KATM,VH - Valley Road Housing Bunk House VR10,OPERATING,NULL,NULL,NULL,NULL,NULL
225917,WEAR,Conex Storage 7,OPERATING,NULL,NULL,NULL,NULL,NULL
228718,KLGO,Moldering Toilet at Canyon City Trail Cabin,OPERATING,NULL,NULL,NULL,NULL,NULL
228890,KATM,VH - Valley Road Housing Accessible Cabin VR14,OPERATING,NULL,NULL,NULL,NULL,NULL
228893,KATM,VH - Valley Road Housing Duplex Cabin VR13,OPERATING,NULL,NULL,NULL,NULL,NULL
234791,KATM,VR02 Valley Road Area Utility Building,OPERATING,NULL,NULL,NULL,NULL,NULL
237635,ANCH,Education Room Leased Space,OPERATING,NULL,NULL,NULL,NULL,NULL
243270,YUCH,BC Kandik Cabin Outhouse,OPERATING,NULL,NULL,NULL,NULL,NULL
244067,WEAR,"Duplex 152 A, B",OPERATING,NULL,NULL,NULL,NULL,NULL
246067,SITK,"105 Monastery Street, Unit A Leased Space",OPERATING,NULL,NULL,NULL,NULL,NULL
247633,LACL,PA-21 Homestead Multifamily Housing,OPERATING,NULL,NULL,NULL,NULL,NULL
247634,LACL,PA-22 Homestead Cafe Single Family Housing,OPERATING,NULL,NULL,NULL,NULL,NULL
247635,LACL,PA-23 Homestead Shop,OPERATING,NULL,NULL,NULL,NULL,NULL
247706,DENA,C Camp Cabin S674,OPERATING,NULL,NULL,NULL,NULL,NULL
247829,YUCH,COCR-STR Cheese Creek Coal Shed,OPERATING,NULL,NULL,NULL,NULL,NULL
247830,YUCH,YURI-STR Glenn Creek Wood Shed,OPERATING,NULL,NULL,NULL,NULL,NULL
247864,YUCH,EAP Fire Management Office,OPERATING,NULL,NULL,NULL,NULL,NULL
248472,KLGO,Sheep Camp Picnic Shelter,OPERATING,NULL,NULL,NULL,NULL,NULL
249112,DENA,C Camp Cabin S675,OPERATING,NULL,NULL,NULL,NULL,NULL
249118,DENA,Admin. Camp Fox Hut S676,OPERATING,NULL,NULL,NULL,NULL,NULL
249119,DENA,Admin. Camp Loon Hut S677,OPERATING,NULL,NULL,NULL,NULL,NULL
249120,DENA,Admin. Camp Moose Hut S678,OPERATING,NULL,NULL,NULL,NULL,NULL
249121,DENA,Admin. Camp Raven Hut S679,OPERATING,NULL,NULL,NULL,NULL,NULL
249134,DENA,Admin. Camp Cook Shack B684,OPERATING,NULL,NULL,NULL,NULL,NULL
249508,WRST,Slana Fish Crew Office,OPERATING,NULL,NULL,NULL,NULL,NULL
55657,KATM,Fure American Creek Root Cellar,OPERATING,NULL,NULL,NULL,NULL,NULL
94976,KATM,VH - Valley Road Housing Accessible Cabin VR15,OPERATING,NULL,NULL,NULL,NULL,NULL
